epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.0881570607324034,0.18743027147638527,1.9853714009126027,0.1987847222222222,0.0003
2,1.9191635781036696,0.22592041651171438,1.9127914905548096,0.2222222222222222,0.00029996721217948936
3,1.8827523203665726,0.24284120490888805,1.850325948662228,0.21875,0.00029986886309977926
4,1.8426753000150875,0.26608404611379693,1.7591248684459262,0.2951388888888889,0.00029970499590002654
5,1.810329188020223,0.27761249535143173,1.7386085357930925,0.3220486111111111,0.00029947568245780083
6,1.7587513874436276,0.3042023056898475,1.7175453669495053,0.3272569444444444,0.0002991810233575568
7,1.7402717288695733,0.3144291558200074,1.8882642984390259,0.3133680555555556,0.0002988211478465144
8,1.6803062463081562,0.3434362216437337,1.8359787729051378,0.2526041666666667,0.00029839621377796666
9,1.648292468134113,0.3648196355522499,2.3722961909241147,0.1762152777777778,0.0002979064075420404
10,1.5704343451935814,0.3938267013759762,1.5898136794567108,0.3767361111111111,0.0002973519439839389
11,1.5055130651423638,0.4220899962811454,10.27488833003574,0.10677083333333333,0.00029673306630970386
12,1.4550907988670636,0.44049832651543325,1.5931523111131456,0.3732638888888889,0.00029605004597953736
13,1.4233730725968978,0.4479360357010041,1.7318873173660703,0.3628472222222222,0.00029530318258873023
14,1.3636912874636395,0.46950539233915956,1.4908519751495786,0.4166666666666667,0.0002944928037362498
15,1.3447915488523636,0.47973224246931945,1.392135159836875,0.4418402777777778,0.0002936192648810439
16,1.3117456846673412,0.49404983265154334,1.3876148959000905,0.4444444444444444,0.00029268294918612537
17,1.2980835692241495,0.49367794719226477,1.472723599937227,0.40625,0.00029168426735050334
18,1.2746946307175573,0.5120862774265527,1.4203259779347315,0.4548611111111111,0.0002906236574290377
19,1.2350627665805214,0.5392339159538863,1.397321793768141,0.4670138888888889,0.0002895015846402935
20,1.2139503277558383,0.5414652287095575,1.616618812084198,0.4322916666666667,0.00028831854116248074
21,1.1808932308106228,0.5552249907028635,1.263196349143982,0.5164930555555556,0.0002870750459175687
22,1.1478666487836005,0.559687616214206,1.3831069005860224,0.4904513888888889,0.0002857716443436698
23,1.1361684416164115,0.5762365191521012,4.31403464741177,0.14149305555555555,0.0002844089081557921
24,1.1068728132379149,0.5888806247675716,1.3778292371167078,0.4817708333333333,0.00028298743509506643
